tarih,saat,lig,mbs,ev,deplasman,iy sonuc,ms sonuc,ms1,msx,ms2,iy1,iyx,iy2,kgvar,kgyok,ciftsans1/x,cs1/2,csx/2,iy1.5a,iy1.5u,1.5a,1.5u,2.5a,2.5u,3.5a,3.5u,toplamgol0-1,tg2-3,tg4-5,tg6+
2024-10-20 00:00:00,19:00:00,BAH,3,Al Muharraq,Bahrain Sc,4 - 1,7 - 2,1.53,3.16,3.9,2.08,1.95,4.33,1.59,1.68,0.0,1.05,1.45,1.23,2.42,3.07,1.11,1.63,1.63,1.16,2.75,3.28,1.78,3.59,14.45
2024-10-20 00:00:00,14:00:00,NOR4,3,Asker,Nordstrand,3 - 0,4 - 2,2.21,3.32,2.12,2.66,2.18,2.56,1.23,2.42,1.19,0.0,1.17,1.45,1.86,0.0,0.0,2.32,1.26,1.48,1.83,5.62,2.02,2.63,6.24
2024-10-20 00:00:00,22:00:00,İS1,1,Barcelona,Sevilla,3 - 0,5 - 1,1.15,5.33,7.72,1.52,2.61,6.58,1.55,1.84,0.0,0.0,2.11,1.56,1.82,5.43,0.0,2.6,1.24,1.6,1.77,6.23,2.09,2.55,5.51
2024-10-20 00:00:00,18:30:00,SLVN,3,Domzale,Radomlje,1 - 3,1 - 4,2.2,2.73,2.47,2.91,1.76,3.21,1.7,1.57,1.12,1.09,1.18,0.0,0.0,2.46,1.22,1.4,1.96,1.06,3.59,2.56,1.77,4.6,24.85
2024-10-20 00:00:00,14:00:00,NOR4,3,Frigg,Askollen,6 - 0,13 - 0,0.0,15.15,17.3,1.05,5.02,16.15,1.58,1.68,0.0,0.0,2.84,2.19,1.3,0.0,0.0,0.0,0.0,2.85,1.14,34.5,5.68,2.71,1.55
2024-10-20 00:00:00,14:30:00,BEL,2,Genk,St. Truidense,3 - 1,3 - 2,1.33,4.11,5.22,1.77,2.32,5.1,1.5,1.92,0.0,0.0,1.76,1.44,2.01,4.48,1.05,2.2,1.36,1.42,2.05,4.9,1.94,2.79,7.45
2024-10-20 00:00:00,14:30:00,AL2,2,Greuther Furth,Nürnberg,0 - 3,0 - 4,1.81,3.28,3.0,2.38,2.06,3.52,1.47,1.97,1.09,1.07,1.36,1.33,2.3,3.61,1.09,1.85,1.53,1.27,2.47,3.82,1.83,3.21,11.0
2024-10-20 00:00:00,14:30:00,AL2,2,Hamburg,Magdeburg,3 - 0,3 - 1,1.5,3.78,3.81,1.91,2.44,3.87,1.25,2.53,0.0,0.0,1.56,1.6,1.76,5.89,0.0,2.73,1.21,1.68,1.67,6.91,2.18,2.47,4.9
2024-10-20 00:00:00,16:00:00,İTA,1,Lecce,Fiorentina,0 - 3,0 - 6,2.9,2.81,2.04,3.57,1.85,2.7,1.68,1.67,1.27,1.12,1.1,1.19,2.82,2.7,1.22,1.5,1.91,1.11,3.4,2.74,1.77,4.25,21.15
2024-10-20 00:00:00,08:00:00,AVUS,2,Macarthur,Perth Glory,5 - 0,6 - 1,1.6,3.59,3.47,2.08,2.25,3.76,1.35,2.23,1.05,1.05,1.48,1.46,1.98,4.63,0.0,2.24,1.34,1.45,1.99,5.11,1.96,2.74,7.05
