tarih,saat,lig,mbs,ev,deplasman,iy sonuc,ms sonuc,ms1,msx,ms2,iy1,iyx,iy2,kgvar,kgyok,ciftsans1/x,cs1/2,csx/2,iy1.5a,iy1.5u,1.5a,1.5u,2.5a,2.5u,3.5a,3.5u,toplamgol0-1,tg2-3,tg4-5,tg6+
2024-10-18 00:00:00,20:15:00,RUS,2,Akhmat Grozny,Fakel Voronezh,2 - 1,2 - 3,1.59,3.03,4.3,2.25,1.82,5.03,1.98,1.46,0.0,1.09,1.49,1.16,3.09,2.39,1.29,1.39,2.12,1.07,3.98,2.42,1.78,4.96,29.0
2024-10-18 00:00:00,21:00:00,HOL2,3,De Graafschap,Psv (B),2 - 1,3 - 1,1.19,4.97,5.52,1.55,2.67,4.9,1.24,2.4,0.0,0.0,1.89,1.74,1.54,7.2,0.0,3.36,1.08,1.93,1.41,9.52,2.5,2.33,3.6
2024-10-18 00:00:00,21:00:00,HOL2,3,Vvv Venlo,Dordrecht,2 - 1,2 - 3,2.89,3.38,1.71,3.24,2.2,2.17,1.25,2.34,1.34,1.05,1.06,1.45,1.87,4.83,0.0,2.3,1.26,1.47,1.83,5.57,2.02,2.64,6.32
2024-10-19 00:00:00,14:00:00,NOR3,3,Alta,Strindheim,2 - 1,5 - 1,1.37,4.0,4.13,1.77,2.4,4.1,1.25,2.34,0.0,0.0,1.61,1.56,1.71,0.0,0.0,2.67,1.18,1.63,1.63,6.89,2.18,2.47,4.91
2024-10-19 00:00:00,15:00:00,FR2,2,Amiens,Ajaccio,2 - 1,3 - 1,1.7,2.8,4.09,2.41,1.74,4.92,2.07,1.41,1.05,1.11,1.42,1.12,3.36,2.19,1.36,1.31,2.34,0.0,4.54,2.2,1.8,5.69,34.5
2024-10-19 00:00:00,17:00:00,İN2,2,Bradford,Gillingham,2 - 1,2 - 1,1.66,2.92,3.55,2.25,1.87,4.09,1.64,1.63,1.05,1.06,1.37,1.19,2.61,2.78,1.16,1.51,1.77,1.11,3.09,2.92,1.77,3.99,18.35
2024-10-19 00:00:00,18:00:00,CZYR,3,Cs Constantine,Paradou,2 - 1,2 - 1,1.49,2.97,4.62,2.12,1.77,5.28,2.0,1.38,0.0,1.05,1.49,0.0,0.0,2.29,1.26,1.34,2.09,1.05,3.95,2.38,1.78,5.07,30.5
2024-10-19 00:00:00,14:30:00,ÇİN2,3,Hebei Kungfu,Yunnan Yukun,2 - 1,3 - 2,2.93,2.93,1.84,3.56,1.86,2.47,1.58,1.69,1.29,1.06,1.06,1.22,2.47,2.83,1.15,1.54,1.74,1.12,3.01,2.99,1.77,3.9,17.45
2024-10-19 00:00:00,18:00:00,POL2,3,P. Bielsko,Zaglebie Lubin,2 - 1,2 - 1,1.45,3.46,4.03,1.93,2.12,4.24,1.44,1.89,0.0,0.0,1.51,1.34,2.08,3.88,1.05,1.94,1.41,1.31,2.19,4.29,1.87,2.98,9.09
2024-10-19 00:00:00,14:30:00,İN1,2,Reading,Crawley,2 - 1,4 - 1,1.48,3.46,3.86,1.95,2.15,4.08,1.39,1.97,0.0,0.0,1.5,1.37,2.03,4.08,0.0,2.02,1.37,1.34,2.09,4.55,1.9,2.89,8.3
2024-10-19 00:00:00,17:00:00,İBSL,3,Solihull Moors,Barnet,2 - 1,4 - 3,3.59,3.41,1.53,3.94,2.08,2.03,1.42,1.92,1.45,0.0,0.0,1.32,2.12,3.8,1.05,1.91,1.43,1.29,2.23,4.18,1.86,3.03,9.48
